age,income,score,segment
56,30,72,4
69,83,92,4
46,36,31,0
32,107,9,3
60,90,51,3
25,100,29,3
38,43,78,3
56,83,40,3
36,61,41,3
40,108,86,2
28,99,11,3
28,53,23,3
41,114,1,3
53,47,46,3
57,115,21,3
41,37,90,4
20,24,36,0
39,83,54,3
19,114,87,2
41,48,57,3
61,110,1,3
47,15,63,3
55,83,54,3
19,18,55,1
38,30,40,3
50,38,15,0
29,94,21,3
39,16,47,3
61,142,73,2
42,98,53,3
66,138,9,3
44,47,74,3
59,115,52,3
45,26,57,3
33,81,26,3
32,79,41,3
64,88,35,3
68,57,63,3
61,58,25,3
69,43,90,3
20,26,75,4
54,109,38,3
68,60,2,3
24,144,7,3
38,49,82,3
26,95,91,2
56,104,34,3
35,22,91,4
21,107,17,3
42,104,43,3
31,129,59,3
67,119,51,3
26,149,54,1
43,72,24,3
19,128,25,3
37,89,71,3
45,134,52,3
64,35,70,4
24,115,88,2
61,113,33,3
25,50,49,1
64,110,29,3
52,51,63,3
31,26,22,0
34,127,26,3
53,27,28,0
67,37,85,4
57,113,49,3
21,119,71,2
19,44,81,3
23,31,84,4
59,127,49,3
21,76,20,3
46,98,86,2
35,126,92,2
43,100,63,3
61,33,61,3
51,114,49,3
27,90,71,2
53,23,1,0
31,42,96,4
48,142,13,3
65,66,94,4
32,97,87,2
25,125,51,1
31,131,56,3
40,83,83,3
57,113,62,3
38,39,32,0
33,137,30,3
62,67,29,3
35,71,49,3
64,53,45,3
41,123,93,2
43,56,30,3
42,136,16,3
62,147,40,3
58,89,19,3
46,90,18,3
32,23,1,0
62,88,78,3
18,21,47,1
42,41,66,3
24,136,92,2
26,19,94,4
41,43,38,3
18,97,51,1
61,123,63,3
25,79,4,3
41,100,1,3
28,85,8,3
68,59,29,3
34,146,55,3
25,50,3,3
52,84,32,3
52,33,10,0
50,122,74,2
22,105,83,2
59,104,34,3
56,33,97,4
58,53,87,3
45,140,55,3
24,140,92,2
26,72,32,3
25,75,50,1
29,141,7,3
51,119,93,2
50,15,8,0
65,145,65,3
40,106,57,3
41,127,67,3
54,70,88,3
52,131,87,2
61,148,59,3
57,72,72,3
39,58,54,3
44,75,67,3
52,61,51,3
18,94,97,2
52,132,92,2
54,34,8,0
64,61,34,3
31,63,35,3
20,28,96,4
18,15,88,4
22,131,78,2
43,68,32,3
31,132,46,3
56,17,16,0
44,26,68,3
26,88,37,3
32,30,54,3
32,116,85,2
43,131,14,3
59,22,95,4
30,136,55,1
68,106,48,3
49,104,82,2
56,74,7,3
66,42,74,3
69,115,7,3
49,55,33,3
21,60,23,3
47,49,85,3
54,148,19,3
40,96,19,3
56,129,36,3
62,61,29,3
32,24,60,3
60,70,82,3
46,44,2,3
53,123,1,3
30,19,47,1
49,133,69,3
24,47,20,3
68,132,11,3
39,79,2,3
45,25,67,3
19,99,87,2
59,40,12,3
62,77,20,3
23,100,5,3
45,73,37,3
45,41,38,3
61,112,94,2
61,119,9,3
37,113,98,2
47,143,53,3
28,69,44,1
45,20,99,4
42,109,86,2
56,147,24,3
50,116,81,2
18,17,74,4
44,37,30,0
69,67,59,3
30,97,87,2
58,99,96,2
20,92,81,2
56,124,81,2
23,15,14,0
25,65,9,3
44,18,40,3
26,127,66,1
54,46,25,3
50,48,73,3
68,106,22,3
59,109,4,3
61,86,26,3
41,53,58,3
32,132,29,3
49,17,98,4
49,137,87,2
41,64,37,3
58,26,75,4
69,68,70,3
66,147,18,3
66,71,85,3
69,126,42,3
29,61,100,4
56,99,41,3
19,80,38,3
20,89,34,3
66,117,17,3
54,52,37,3
66,64,25,3
34,112,76,2
66,96,87,2
19,44,86,3
19,93,85,2
45,105,27,3
40,66,57,3
54,93,31,3
49,44,6,3
50,120,91,2
18,65,40,1
36,95,98,2
19,147,12,3
61,43,53,3
43,146,71,2
49,88,10,3
23,31,45,1
49,98,17,3
21,83,26,3
28,48,85,3
34,20,92,4
55,67,62,3
41,140,46,3
22,57,64,1
69,129,2,3
51,125,54,3
23,94,65,1
39,109,51,3
28,132,53,1
65,22,36,0
33,146,26,3
50,118,29,3
26,146,21,3
23,39,11,0
33,110,40,3
46,107,11,3
20,75,36,3
37,136,59,3
53,65,39,3
36,35,99,4
43,19,54,3
20,106,98,2
36,75,55,3
37,36,24,0
49,84,22,3
24,15,69,1
69,147,56,3
58,26,33,0
50,104,36,3
57,60,20,3
56,48,83,3
35,92,99,2
57,59,81,3
18,87,62,1
28,40,98,4
45,61,73,3
42,135,26,3
67,70,66,3
40,108,73,2
48,121,73,2
47,77,40,3
59,62,17,3
52,75,1,3
24,95,89,2
33,40,61,3
43,50,43,3
65,15,42,3
69,22,25,0
66,127,39,3
19,113,35,3
18,61,3,3
65,141,44,3
29,70,51,1
22,28,94,4
54,42,98,4
49,92,12,3
26,144,19,3
58,123,44,3
52,28,59,3
36,70,49,3
65,129,61,3
33,21,17,0
20,17,74,4
37,125,57,3
41,121,55,3
50,32,47,3
41,52,12,3
69,129,62,3
28,29,80,4
66,133,88,2
25,42,83,3
53,53,8,3
55,31,95,4
57,100,21,3
37,140,81,2
52,58,87,3
65,39,80,4
42,27,70,4
52,39,72,4
42,82,25,3
46,81,82,3
35,123,89,2
63,125,12,3
35,125,15,3
19,48,59,1
52,125,26,3
33,22,26,0
58,127,47,3
53,97,32,3
50,56,10,3
21,115,16,3
50,20,71,4
31,40,17,3
38,78,23,3
65,73,26,3
37,123,85,2
25,135,86,2
24,47,7,3
20,35,14,0
34,84,79,3
50,126,7,3
65,18,9,0
29,108,48,1
68,89,72,3
39,76,59,3
39,108,87,2
63,109,93,2
47,69,82,3
55,145,95,2
55,45,94,4
62,54,39,3
68,50,99,4
25,20,18,0
44,80,59,3
44,89,17,3
51,18,14,0
38,93,31,3
47,148,24,3
50,132,99,2
45,127,60,3
64,108,45,3
50,76,98,4
22,93,3,3
65,40,37,3
36,58,43,3
21,147,40,1
52,84,90,3
66,132,55,3
34,82,87,3
61,33,39,0
45,34,15,0
47,127,4,3
46,61,93,4
63,15,86,4
23,104,25,3
52,78,13,3
58,52,82,3
54,51,33,3
41,140,16,3
46,114,42,3
66,91,66,3
63,17,55,3
48,148,99,2
52,24,42,3
50,19,34,0
69,144,30,3
38,27,13,0
49,144,13,3
40,98,18,3
50,79,32,3
20,77,96,4
35,115,99,2
42,87,39,3
59,31,46,3
48,23,29,0
20,52,62,1
57,108,93,2
63,109,62,3
41,63,57,3
67,83,16,3
49,76,56,3
64,92,10,3
39,131,30,3
40,134,25,3
19,90,84,2
44,49,5,3
59,15,65,3
19,54,94,4
43,78,49,3
34,74,3,3
57,78,45,3
50,107,14,3
26,86,30,3
60,25,68,3
65,119,18,3
56,28,62,3
46,74,37,3
59,44,25,3
43,49,48,3
52,19,65,3
67,97,53,3
42,137,79,2
41,92,73,2
30,76,15,3
24,146,49,1
53,103,88,2
62,56,68,3
37,103,12,3
18,54,59,1
25,86,37,3
63,53,61,3
33,118,43,3
31,28,70,4
29,46,39,3
68,139,56,3
40,111,63,3
32,37,46,3
45,77,88,3
51,67,11,3
19,118,62,1
49,118,77,2
40,53,98,4
39,148,25,3
68,81,71,3
42,149,52,3
39,56,4,3
39,29,59,3
66,125,72,2
69,47,20,3
59,52,93,4
23,111,63,1
32,47,54,3
60,100,74,2
54,80,98,4
50,24,57,3
25,19,90,4
61,137,41,3
61,88,3,3
22,111,6,3
56,132,5,3
21,52,5,3
23,61,54,1
62,123,47,3
49,29,87,4
69,19,49,3
47,61,9,3
64,82,99,4
52,90,20,3
57,144,61,3
69,109,35,3
33,129,50,3
30,50,82,3
67,40,62,3
59,57,17,3
47,41,88,3
36,83,3,3
34,25,32,0
36,88,99,4
45,118,13,3
43,52,89,3
54,148,73,2
43,37,68,3
40,61,14,3
26,104,98,2
29,60,11,3
18,121,56,1
18,118,67,1
64,125,92,2
51,118,29,3
49,74,9,3
65,114,67,3
57,147,98,2
62,134,76,2
18,51,42,1
22,45,70,1
35,120,40,3
28,55,90,3
42,85,50,3
30,60,60,1
50,100,20,3
23,35,85,4
31,80,30,3
40,110,75,2
29,70,65,1
56,74,12,3
69,28,34,0
46,23,33,0
32,104,48,3
60,67,23,3
25,144,62,1
38,98,88,2
56,106,37,3
36,125,99,2
40,22,44,3
28,49,86,3
28,95,91,2
41,64,35,3
53,118,65,3
57,146,99,2
41,16,47,3
20,148,78,2
39,68,3,3
19,120,1,3
41,18,5,0
61,68,90,3
47,58,14,3
55,28,27,0
19,109,9,3
38,62,79,3
50,29,15,0
29,54,90,3
39,96,42,3
61,125,77,2
42,67,51,3
66,38,63,3
44,138,96,2
59,55,52,3
45,29,96,4
33,59,4,3
32,79,94,4
64,103,23,3
68,85,15,3
61,23,43,3
69,102,29,3
20,143,36,3
54,77,13,3
68,95,32,3
24,47,71,3
38,137,59,3
26,19,86,4
56,55,28,3
35,42,66,3
21,149,42,1
42,86,45,3
