age,income,score,segment
56,120,39,3
46,31,38,1
32,86,58,3
60,84,54,2
25,93,39,2
38,62,25,2
56,63,49,0
36,48,28,3
40,31,27,3
28,114,10,4
28,65,87,4
41,149,56,4
53,54,75,2
57,100,47,3
41,109,60,2
20,27,72,0
39,112,13,4
19,109,10,2
41,134,17,2
61,124,38,0
47,77,64,1
55,133,12,3
19,94,41,1
38,139,19,4
50,40,83,2
29,120,92,0
39,118,43,0
61,55,96,3
42,115,64,1
44,56,41,3
59,31,59,2
45,132,16,3
33,32,17,0
32,42,74,0
64,118,66,4
61,124,76,4
20,49,97,2
54,36,96,1
24,132,68,3
38,81,81,2
26,103,63,4
56,131,76,3
35,105,60,4
21,38,17,3
42,119,43,1
31,95,44,2
26,28,97,3
43,47,87,0
19,147,41,0
37,71,55,3
45,102,25,3
64,130,77,3
24,136,46,0
61,88,63,0
25,118,94,3
64,44,23,4
52,142,64,4
31,72,57,1
34,76,91,2
53,58,16,4
57,128,83,0
21,61,16,4
19,141,42,1
23,94,32,1
59,95,94,2
21,28,28,4
46,93,28,0
35,26,45,0
43,46,38,3
61,141,69,0
51,24,91,2
27,48,11,2
53,102,10,0
31,128,56,0
48,84,78,3
32,105,29,0
25,90,20,3
31,64,11,3
40,55,76,0
57,89,96,1
38,38,21,1
33,127,29,3
62,110,14,0
35,109,46,1
64,38,47,0
41,58,18,0
43,145,62,0
42,145,53,4
62,77,95,0
58,80,33,4
46,146,90,3
32,124,83,1
62,20,39,1
18,111,68,1
42,132,96,1
24,75,90,1
26,136,90,1
41,77,23,1
18,63,18,3
61,80,49,0
25,66,75,2
41,99,34,4
28,137,82,2
34,39,31,2
25,66,13,0
52,68,35,0
52,33,67,0
50,20,38,1
22,136,96,3
59,73,46,1
56,137,84,3
58,22,79,3
45,31,27,2
24,93,94,2
26,35,51,3
25,121,50,3
29,136,47,1
51,27,43,1
50,141,26,2
40,111,46,0
41,109,34,3
54,79,85,1
52,47,96,2
61,120,95,1
57,60,94,3
39,65,36,3
44,54,66,4
52,101,40,0
18,134,15,4
52,66,49,2
54,29,21,1
64,75,62,2
31,49,80,3
20,128,19,4
18,24,54,4
22,138,26,4
43,52,35,2
31,137,94,3
56,84,71,1
44,30,55,1
26,104,73,2
32,45,11,4
32,82,63,0
43,105,74,2
59,78,60,2
30,46,62,3
49,117,45,1
56,124,35,2
49,118,38,2
21,148,30,4
47,74,20,4
54,25,49,0
40,114,20,3
56,121,45,0
62,22,68,4
32,42,48,1
60,72,63,4
46,102,64,3
53,104,33,4
30,97,31,3
49,129,78,3
24,20,65,3
39,70,42,3
45,23,45,3
19,132,29,1
59,51,92,0
62,53,90,2
23,111,71,0
45,114,82,3
45,91,35,1
61,58,75,4
61,137,82,1
37,22,82,3
47,142,49,1
28,69,26,1
45,31,10,3
42,73,98,1
56,76,70,2
50,131,52,2
18,66,51,1
44,104,34,4
30,85,48,3
58,94,44,2
20,122,12,4
56,57,53,1
23,69,60,4
25,117,21,0
44,101,28,2
26,49,53,1
54,98,68,3
50,110,58,1
59,71,70,3
61,98,26,1
41,49,83,4
32,125,66,4
49,70,64,4
49,100,56,0
41,48,21,3
58,93,71,4
29,36,89,0
56,103,97,3
19,88,92,1
20,53,17,0
54,25,30,2
34,72,90,0
19,145,96,0
19,62,89,3
45,134,79,1
40,130,81,2
54,99,34,4
49,114,91,4
50,137,98,0
18,27,21,3
36,123,24,3
19,44,68,4
61,115,35,2
43,112,35,1
49,80,56,2
23,141,41,1
49,70,19,4
21,40,25,1
28,24,80,3
34,111,26,0
55,80,32,0
41,41,35,4
22,89,94,3
51,20,95,2
23,31,16,3
39,109,23,0
28,65,88,0
33,53,16,3
50,97,18,3
26,64,57,0
23,92,81,2
33,45,68,4
46,66,96,4
20,140,91,3
37,75,48,4
53,113,27,0
36,126,68,0
43,82,26,3
20,67,23,3
36,80,40,3
37,100,33,2
49,45,69,4
24,55,54,3
58,20,12,1
50,27,46,1
57,132,52,0
56,118,49,4
35,66,99,3
57,146,64,1
18,75,96,4
28,33,48,0
45,47,24,2
42,97,13,4
40,149,95,4
48,128,34,2
47,33,22,4
59,75,91,0
52,134,42,0
24,26,25,2
33,22,51,3
43,130,75,1
19,126,64,3
18,37,51,4
29,57,43,1
22,134,39,2
54,34,22,2
49,138,22,1
26,47,27,0
58,58,41,1
52,36,48,4
36,105,55,0
33,145,38,2
20,63,71,1
37,44,71,3
41,32,66,3
50,44,25,4
41,87,65,3
28,86,19,1
25,128,39,1
53,130,34,3
55,130,93,1
57,53,14,4
37,130,74,0
52,27,58,4
42,132,12,4
52,102,54,1
42,61,23,0
46,120,39,1
35,25,77,2
63,45,27,1
35,83,71,1
19,78,46,1
52,128,34,0
33,140,57,1
58,52,74,0
53,40,62,3
50,89,88,2
21,131,82,0
50,23,24,3
31,113,58,0
38,94,97,0
37,81,77,2
25,113,21,4
24,114,68,4
20,74,46,0
34,50,70,1
50,59,52,3
29,55,79,1
39,25,48,1
39,85,65,0
63,94,72,0
47,23,55,0
55,98,97,0
55,137,20,4
62,132,71,0
25,113,86,4
44,81,34,4
44,98,80,0
51,45,61,2
38,63,13,3
47,89,68,1
50,137,81,4
45,87,29,3
64,38,72,2
50,39,63,1
22,132,83,1
36,66,66,4
21,20,99,0
52,109,50,2
34,83,12,4
61,57,15,2
45,56,14,0
47,145,14,0
46,119,63,4
63,96,56,0
23,22,96,3
52,29,58,1
58,24,18,4
54,149,29,2
41,32,70,3
46,149,44,4
63,103,59,0
48,84,91,0
52,82,71,0
50,120,26,0
38,92,97,2
49,36,12,3
40,28,41,1
50,57,22,2
20,113,98,2
35,114,82,1
42,68,77,1
59,88,23,0
48,81,20,2
20,97,65,4
57,136,76,1
63,139,38,1
41,95,18,3
49,54,76,4
64,20,34,4
39,59,85,1
40,83,51,0
19,79,18,3
44,83,88,4
59,112,49,1
19,91,34,4
43,30,14,3
34,124,20,3
57,33,68,2
50,79,97,1
26,49,88,3
60,54,47,2
56,24,81,2
46,102,14,4
59,142,57,4
43,97,99,2
52,81,27,4
42,108,79,3
41,61,46,0
30,108,69,3
24,59,57,2
53,91,86,2
62,58,37,3
37,123,78,4
18,33,86,4
25,51,90,2
63,144,49,1
33,116,54,4
31,42,71,3
29,82,67,4
40,72,76,3
32,123,65,2
45,123,49,4
51,58,49,3
19,86,86,2
49,61,42,1
40,34,15,3
39,130,97,1
42,52,28,1
39,57,89,0
39,116,49,4
59,52,68,3
23,105,68,1
32,85,57,0
60,29,50,2
54,24,22,3
50,142,54,1
25,93,98,4
61,116,62,0
61,137,51,1
22,57,72,4
56,66,36,1
21,128,47,3
23,34,69,3
62,24,16,3
49,66,14,0
47,87,54,3
64,95,67,4
52,149,40,1
57,114,32,2
33,134,51,4
30,55,19,4
59,45,41,3
47,62,62,0
36,46,39,1
34,88,48,0
36,30,40,1
45,93,91,1
43,123,11,0
54,57,87,4
43,42,86,1
40,66,21,0
26,109,48,1
29,65,75,2
18,126,22,4
18,123,55,3
64,130,36,1
51,123,26,2
49,79,69,3
42,119,73,3
57,87,97,1
62,139,44,0
18,56,79,1
33,91,92,2
56,146,39,3
22,125,80,1
39,111,83,0
46,50,72,1
20,141,37,4
29,70,69,0
43,48,88,2
33,59,46,3
54,60,31,1
39,30,77,0
46,20,29,4
31,65,77,0
45,120,73,4
22,109,26,2
64,129,21,3
47,76,31,2
63,20,26,1
22,82,19,0
29,74,74,4
33,134,31,4
43,72,99,0
43,76,91,0
38,136,59,1
56,54,23,2
53,82,73,4
50,44,56,1
47,109,38,2
54,94,85,1
40,57,45,4
27,149,61,0
22,110,85,0
53,36,16,2
51,147,38,3
48,127,20,2
27,44,42,3
36,107,15,1
49,48,88,1
18,82,41,4
22,133,60,3
62,68,84,4
21,100,67,0
33,103,96,3
41,124,35,2
33,137,55,0
19,105,38,0
45,82,13,2
49,123,90,0
44,68,22,3
37,90,48,4
41,20,24,0
